id,profit
600220,0.2514827385305008
600550,0.10027298019412598
000520,0.07212860867275153
600331,0.0671989945165159
600058,0.06490690422109487
000607,0.03261670319287298
000066,0.025135752161121495
000617,0.01652907500863182
000636,0.015553116961424446
000917,0.014730045714342997
600662,0.014465288258837035
000009,0.01403067233280933
600020,0.013710252480270888
600256,0.013097948745583319
000733,0.012994561873819447
000968,0.012597909259182659
600588,0.012157821201265667
000623,0.01133646749328799
600498,0.01106602726591896
600780,0.011021218329952065
600410,0.010956976111762164
600271,0.010161753909441112
600078,0.009023176229103846
600500,0.00899937815061306
600635,0.00857399167998847
000400,0.00844594795735586
600011,0.00842946903791091
000778,0.008320151754463065
600183,0.007869951636445077
000768,0.007825953771525694
600171,0.007598264104320911
600549,0.007535245033943519
600835,0.00750414586050311
600754,0.007437942261458027
000031,0.007429232820333255
600320,0.007342181229026532
000937,0.00729736824758601
000021,0.007166784270170936
600739,0.007087551290516148
600797,0.006423804011730321
600456,0.006322630001469369
600021,0.0063023535670392586
600126,0.006198155311266903
000970,0.0061658479416921794
600089,0.006121147328874826
000920,0.006120700568625024
600460,0.005921721915729972
600018,0.005721210530622295
000875,0.0054407375790682735
600132,0.005385994084808365
000825,0.005338503869897434
000059,0.005283959217362269
000758,0.005281473778255925
600820,0.005208036296520125
600269,0.00518872293782617
600350,0.004944035374783282
000601,0.004910079741313014
600874,0.0048955015985719455
600863,0.004845123679622573
600006,0.0047445161751081795
600795,0.004681496331151315
600578,0.004681073187993629
000900,0.004663059389618626
000997,0.004590694844501572
000100,0.0045817850597288205
000806,0.004422347826086957
600231,0.004252121265647425
600027,0.004212590787877728
600508,0.004146356126440632
000581,0.0041339816302575095
000969,0.004131918084141715
000099,0.004101927913152462
000930,0.004049619047619049
600642,0.0038128614929292693
000503,0.0038055211720394704
600718,0.0036746745707096733
600894,0.003603506542081189
600600,0.003583975457258538
600008,0.003433838083650504
600009,0.0033444538533220747
600717,0.003328579320663732
600839,0.003230635711111725
000869,0.0032300789683901367
600073,0.0032034536071882517
600143,0.003163803246245916
000528,0.0031504188588769833
