Profit,VaR,Id1,K1,Id2,K2,Id3,K3,Id4,K4,Id5,K5,Id6,K6,Id7,K7,Id8,K8,Id9,K9,Id10,K10
0.148999,0.002,600220,0.52,600550,0.04,000520,0.04,600331,0.04,600058,0.04,000607,0.04,000066,0.04,000617,0.04,000636,0.16,000917,0.04
0.03,-0.00117153,600220,0.04,600550,0.04,000520,0.04,600331,0.04,600058,0.04,000607,0.04,000066,0.04,000617,0.04,000636,0.64,000917,0.04
